Cru;Bugaj;225705340;57260483;1407333;34220
Jar;Velky;150918842;73663035;1087020;38835
Mjol;Stary;235608919;5734725;1450616;14436
Ra;Stary;1358101767;5052874;1054346;4073
Drak;Demos;225517271;470320;1111402;12909
Ca;Demos;225811547;501235;1332310;2928
Cry;Chrobak;240515332;11632;1355674;36141
Mar;Nizky;50527355;12351;1408572;9222
Mjol;Albinikova;136211448;51521;1461078;3812
Kr;Luk;225403263;82158;1458081;13795
Cru;Vonsak;225603456;50478071;1363370;21629
Bre;Melek;225802241;88858;1145678;11455
Mjol;Gabalova;230416451;1704588;1403455;4603
Cru;Gabalova;240215173;15610;1316014;34987
Cro;Jonas;7461059969;21184;1514682;22789
Mor;Velka;203219621;5067863;1340577;32958
Azur;Melek;120328609;5526083;1023472;22836
Mrok;Stary;136112507;8424688;1417766;34560
Jag;Lahka;1507039897;87456;1163354;20555
Cro;Vonsak;165708961;71818;1155431;23516
Jar;Nizky;225404926;50523;1134514;23938
Luk;Melek;225529891;10645;1125705;16794
Cro;Albinikova;225626224;34058;1101181;4239
Mer;Anat;225715395;3407524;1514682;40409
Ra;Gofa;225803008;81122010;1461078;21554
Mjol;Anat;230322743;23845;1340577;4924
Cry;Mar;230722308;47334;1184265;18819
Kr;Chrobak;235922697;678101;1423570;31269
Drak;Luk;240302430;5718824;1125705;19927
Ray;Mrtek;5711219910;336417;1073084;36847
Creo;Velky;8604111175;11015613;1407333;12400
Mad;Nizky;828870;65425136;1407333;35563
Mad;Mar;411162400;60270;1423570;9123
Zur;Stankovianska;1156072951;46631;1111402;22588
Drak;Stankovianska;125321310;27365166;1504332;32841
Jar;Demos;1361013071;56762182;1207140;1298
Cru;Mrtek;1361211710;511888;1268462;9482
Kr;Mar;145424640;33113;1264170;31146
Ray;Lahka;150715261;43634354;1253406;19706
Rei;Melek;160713819;511188;1155431;10806
Mrok;Mrtek;210804348;2161060;1134514;20469
Mar;Bugaj;225404844;47262214;1458081;22550
Mrok;Gabalova;225415586;736750;1144838;4985
Kr;Albinikova;225521687;6248045;1355674;17219
Mer;Gabalova;225615788;575873;1308620;34709
Mrok;Melek;225703391;63150;1268462;35281
Zed;Mlady;225706418;234737;1060215;38711
Cry;Mlady;225722526;5003012;1087020;22315
Mad;Artur;225802637;73306;1408572;16359
Mad;Velky;230114577;544681;1403455;10863
Azur;Lahka;230406580;1724618;1060215;25146
Kr;Nizky;230719183;216753;1363370;29760
Ca;Albinikova;235322626;5457255;1408572;27887
Mar;Mrtek;235621962;32067;1332310;29740
Mrok;Mar;236114689;28360851;1354446;37822
Bre;Velky;240217746;3121662;1215677;39395
Creo;Stankovianska;240423079;162254;1472171;7533
Kr;Egres;521216653;32742323;1208108;9140
Rei;Chrobak;6156195860;3523504;1145678;29874
Ra;Chrobak;7509244370;357285;1203334;23794
Mer;Albinikova;8712016148;57723;1054346;22292
Azur;Egres;8054574;821021;1002782;31892
Bre;Albinikova;161025590;661784;1335314;24489
Zed;Demos;40608634;54804;1340577;9936
Azak;Albinikova;50118309;864532;1335314;37504
Zur;Nizky;604235511;30448;1268462;1574
Cry;Egres;1159151060;531508;1203334;21647
Ca;Niekto;121104732;60752014;1340577;40018
Bre;Lahka;1279081914;3553558;1125705;1089
Azur;Albinikova;135919637;227801;1377174;33538
Jar;Nizky;136111642;75166665;1255263;32756
Kr;Anat;136115422;81684;1054346;34373
Ra;Mar;136127236;6535805;1002782;37899
Jar;Luk;1432060014;25262;1355674;28920
Zed;Demos;1459199577;31525550;1332310;4254
Cro;Bugaj;1507047201;6113853;1407333;10931
Ray;Stankovianska;1509114684;83486;1363370;8971
Zork;Egres;1554040125;6656805;1320657;31827
Kr;Jonas;1656134634;61057843;1472171;37966
Creo;Nizky;1702170459;7033306;1340577;17773
Mjol;Luk;215923423;2353340;1423570;9571
Mer;Demos;225506420;75313;1377174;21631
Mad;Egres;225519997;20180144;1300556;8888
Ca;Lahka;225529510;474578;1044255;3399
Zed;Vonsak;225603712;1635835;1345121;1488
Jar;Chrobak;225624544;76864715;1472171;31631
Mer;Chrobak;225703728;687071;1111402;7493
Zork;Gofa;226009560;34710;1363370;7264
Luk;Pralok;230302299;17730;1454435;7414
Ray;Anat;230323053;7466125;1101181;5595
Ray;Niekto;230408291;8051120;1308620;33063
Creo;Niekto;230512213;27316;1320657;18346
Zur;Mrtek;230720867;10560;1345121;28703
Mjol;Stary;235213997;52760;1332310;22159
Zork;Nikdova;235604793;24336;1255263;40047
Azur;Mlady;235612374;45785;1111402;12139
Cro;Vonsak;235627394;80648862;1407333;31219
Cro;Niekto;236101799;12008185;1363370;38741
Mor;Gabalova;240118312;8250161;1125705;929
Mrok;Artur;240314770;1411365;1408572;33004
Cro;Velky;240513933;6287568;1203334;13276
Mar;Egres;500128079;10061;1472171;25
Zed;Niekto;525901785;65437;1023472;6509
Zed;Nizky;6109150091;84480023;1407333;351
Mrok;Stary;6903014261;2177668;1255263;15317
Jar;Niekto;7462150784;60412;1208108;24076
Mor;Pralok;8558169433;53456;1354446;3394
Jar;Mar;8711299729;1350757;1144128;14452
Cry;Luk;9212054665;85055;1472171;22210
Luk;Gabalova;6078644;31567604;1163354;6131
Mrok;Bugaj;817382;15133;1454435;12814
Creo;Artur;155317657;3116766;1417766;9744
Bre;Albinikova;201290419;11264822;1351876;16969
Mrok;Velky;40221254;11483;1345121;28703
Ray;Stary;41026264;112534;1450616;9625
Ca;Gabalova;411264579;8700444;1308620;19811
Zed;Artur;504265146;1484267;1054346;16341
Mer;Luk;50928651;4213211;1355674;21245
Mjol;Velky;60711609;456306;1461078;7864
Mer;Jonas;1157109613;23562788;1403455;32714
Mjol;Stary;116027942;22755;1407333;1839
Mar;Nikdova;1204237310;64258071;1002782;1912
Mad;Nikdova;1211187615;684032;1142120;26548
Cry;Nikdova;126107275;535533;1060215;21327
Zed;Jonas;130605485;55036;1458081;35107
Mer;Stary;135918456;477121;1047428;20495
Luk;Bugaj;1360307619;483175;1423570;21953
Cru;Luk;1361056653;36216861;1253406;39428
